movie_name,ranking,score,score_num
这个杀手不太冷,1,9.4,1374432
指环王3：王者无敌,2,9.2,429229
七武士,3,9.2,108369
蝙蝠侠：黑暗骑士,4,9.1,556087
搏击俱乐部,5,9.0,540401
指环王1：魔戒再现,6,9.0,452009
指环王2：双塔奇兵,7,9.0,402728
攻壳机动队,8,9.0,81597
将军号,9,9.0,12366
V字仇杀队,10,8.9,630513
黑客帝国,11,8.9,431234
勇敢的心,12,8.9,386299
用心棒,13,8.9,20292
让子弹飞,14,8.8,930995
谍影重重3,15,8.8,253205
纵横四海,16,8.8,224866
乱,17,8.8,46869
黑客帝国动画版,18,8.8,36384
蝙蝠侠：黑暗骑士归来(下),19,8.8,20342
桥,20,8.8,14584
攻壳机动队SSS,21,8.8,11167
我的英雄学院 第2季：英雄笔记,22,8.8,1880
头号玩家,23,8.7,816893
阿凡达,24,8.7,781196
加勒比海盗,25,8.7,515122
蝙蝠侠：黑暗骑士崛起,26,8.7,413136
蜘蛛侠：平行宇宙,27,8.7,366446
被解救的姜戈,28,8.7,355337
黑客帝国3：矩阵革命,29,8.7,223914
枪火,30,8.7,134319
东邪西毒：终极版,31,8.7,120130
精英部队2：大敌当前,32,8.7,55309
椿三十郎,33,8.7,11782
铁达尼号沉没记,34,8.7,5089
复仇者联盟4：终局之战,35,8.6,633932
超能陆战队,36,8.6,559989
东邪西毒,37,8.6,360182
疯狂的麦克斯4：狂暴之路,38,8.6,293883
英雄本色,39,8.6,274384
谍影重重,40,8.6,259624
谍影重重2,41,8.6,217812
终结者2：审判日,42,8.6,197408
勇闯夺命岛,43,8.6,181293
黑鹰坠落,44,8.6,168332
恶童,45,8.6,54146
宾虚,46,8.6,23164
敲开天堂的门,47,8.6,10902
西线无战事,48,8.6,9897
大菩萨岭,49,8.6,6742
兽兵卫忍风帖,50,8.6,6304
碧血金沙,51,8.6,5030
落叶,52,8.6,4682
小萝莉的猴神大叔,53,8.5,268624
新龙门客栈,54,8.5,256374
黑客帝国2：重装上阵,55,8.5,196369
暗战,56,8.5,148812
角斗士,57,8.5,147811
王牌对王牌,58,8.5,79371
启示,59,8.5,54784
正义联盟：闪点悖论,60,8.5,17258
杀死比尔整个血腥事件,61,8.5,13588
侠女,62,8.5,11828
午夜狂奔,63,8.5,11299
最长的一天,64,8.5,8593
红线,65,8.5,5223
死亡的游戏,66,8.5,2695
通往自由的通道,67,8.5,1973
笔中情,68,8.5,1709
滑铁卢战役,69,8.5,1227
釜山行,70,8.4,554477
功夫,71,8.4,459633
王牌特工：特工学院,72,8.4,451326
变脸,73,8.4,271373
速度与激情5,74,8.4,257143
无间道2,75,8.4,227965
蝙蝠侠：侠影之谜,76,8.4,206799
罪恶之城,77,8.4,153477
神探,78,8.4,144474
黄海,79,8.4,115394
守望者,80,8.4,109329
星球大战,81,8.4,85408
盗火线,82,8.4,77637
天国王朝,83,8.4,62542
喋血双雄,84,8.4,50173
阿基拉,85,8.4,32958
荒野大镖客,86,8.4,29433
精武门,87,8.4,22795
空山灵雨,88,8.4,6699
战国英豪,89,8.4,5830
盗信情缘,90,8.4,4070
飞行器里的好小伙，或我是怎样花25小时11分从伦敦飞到巴黎,91,8.4,3899
忍者小英雄,92,8.4,1191
红海行动,93,8.3,686484
速度与激情7,94,8.3,339360
金刚狼3：殊死一战,95,8.3,328722
碟中谍4,96,8.3,317448
霍比特人3：五军之战,97,8.3,252757
霍比特人2：史矛革之战,98,8.3,250857
飓风营救,99,8.3,161622
热血警探,100,8.3,108730
英雄本色2,101,8.3,86423
精武英雄,102,8.3,73583
星球大战前传3：西斯的复仇,103,8.3,69928
监狱风云,104,8.3,65266
星球大战2：帝国反击战,105,8.3,65034
太极旗飘扬,106,8.3,62478
星球大战3：绝地归来,107,8.3,59657
一个字头的诞生,108,8.3,37600
魁拔Ⅲ战神崛起,109,8.3,28914
猛龙过江,110,8.3,25520
卡桑德拉大桥,111,8.3,16986
白色严冬,112,8.3,9792
蝙蝠侠：红影迷踪,113,8.3,9166
奏鸣曲,114,8.3,8962
关山飞渡,115,8.3,7296
喊山,116,8.3,6062
日落黄沙,117,8.3,5894
机动警察剧场版1,118,8.3,4573
孟菲斯美女号,119,8.3,2900
飞出个未来大电影2：万背之兽,120,8.3,2532
菜鸟总动员：毕业,121,8.3,2391
福禄双霸天,122,8.3,2259
最臭兵器,123,8.3,1732
船长二世,124,8.3,1043
粉身碎骨,125,8.3,1013
复仇者联盟,126,8.2,494834
钢铁侠,127,8.2,397974
X战警：逆转未来,128,8.2,346691
变形金刚,129,8.2,322007
后天,130,8.2,304152
第九区,131,8.2,289737
霍比特人1：意外之旅,132,8.2,284998
杀死比尔,133,8.2,279520
加勒比海盗2：聚魂棺,134,8.2,270614
X战警：第一战,135,8.2,260951
加勒比海盗3：世界的尽头,136,8.2,251786
国产凌凌漆,137,8.2,236911
铁甲钢拳,138,8.2,199715
老男孩,139,8.2,184760
真实的谎言,140,8.2,117017
买凶拍人,141,8.2,108222
铁雨,142,8.2,67813
虎胆龙威,143,8.2,58936
第一滴血,144,8.2,56793
西北偏北,145,8.2,50223
最终幻想7：圣子降临,146,8.2,47438
夺宝奇兵3,147,8.2,43311
处刑人,148,8.2,37408
僵尸先生,149,8.2,36107
野战排,150,8.2,30229
雌雄大盗,151,8.2,29988
喋血街头,152,8.2,28347
双旗镇刀客,153,8.2,23063
爱的曝光,154,8.2,20374
追捕,155,8.2,20062
蝙蝠侠：黑暗骑士归来(上),156,8.2,17874
小倩,157,8.2,15735
龙争虎斗,158,8.2,15596
老人Z,159,8.2,6196
胜利之光,160,8.2,5851
变形金刚大电影,161,8.2,3956
迎春阁之风波,162,8.2,3592
天与地,163,8.2,3234
战略大作战,164,8.2,2928
红河,165,8.2,2042
疤面人,166,8.2,1884
奈克瑟斯奥特曼剧场版,167,8.2,1562
盗日者,168,8.2,1238
侍,169,8.2,1238
无双,170,8.1,627937
复仇者联盟3：无限战争,171,8.1,600116
碟中谍6：全面瓦解,172,8.1,392117
银河护卫队,173,8.1,382461
明日边缘,174,8.1,325624
猩球崛起,175,8.1,316276
黑衣人,176,8.1,211033
超人总动员,177,8.1,201992
师父,178,8.1,198030
我，机器人,179,8.1,185820
罗拉快跑,180,8.1,180486
碟中谍,181,8.1,175514
树大招风,182,8.1,142469
孤胆特工,183,8.1,140533
空中监狱,184,8.1,136418
终结者,185,8.1,129651
勇敢者的游戏,186,8.1,96022
黄飞鸿,187,8.1,92569
升级,188,8.1,89336
生死时速,189,8.1,86631
国家公敌,190,8.1,84422
星球大战前传1：幽灵的威胁,191,8.1,78669
未知死亡,192,8.1,71302
少林寺,193,8.1,51204
怒火救援,194,8.1,49961
枪王,195,8.1,42619
天若有情,196,8.1,40317
孤独的幸存者,197,8.1,39471
疾速备战,198,8.1,27285
爱国者,199,8.1,26832
实尾岛,200,8.1,23408
少年菀得,201,8.1,16223
佐罗,202,8.1,12063
龙门客栈,203,8.1,9013
天劫余生,204,8.1,6056
蝙蝠侠：元年,205,8.1,5936
遥远的桥,206,8.1,4700
少年泰坦出击电影版,207,8.1,3764
侠僧探案传奇之大夜叉,208,8.1,3179
大饭店,209,8.1,3108
跳跃大搜查线：湾岸署史上最恶的3日间,210,8.1,2600
血染雪山堡,211,8.1,2214
达摩祖师,212,8.1,2184
独孤：倒回,213,8.1,1926
