ranking,book_name,score,score_num,info
1,追风筝的人,8.9,496076,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元
2,解忧杂货店,8.5,487542,[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元
3,小王子,9,416936,[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元
4,白夜行,9.1,361651,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2008-9 / 29.80元
5,活着,9.4,288629,余华 / 作家出版社 / 2012-8-1 / 20.00元
6,嫌疑人X的献身,8.9,299504,[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00
7,三体,8.8,294451,刘慈欣 / 重庆出版社 / 2008-1 / 23.00
8,围城,8.9,292689,钱锺书 / 人民文学出版社 / 1991-2 / 19.00
9,挪威的森林,8,269683,[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-2 / 18.80元
10,红楼梦,9.6,207886,[清] 曹雪芹 著 / 人民文学出版社 / 1996-12 / 59.70元
11,百年孤独,9.2,216791,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元
12,看见,8.8,210930,柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元
13,平凡的世界（全三部）,9,183670,路遥 / 人民文学出版社 / 2005-1 / 64.00元
14,三体Ⅱ,9.3,174460,刘慈欣 / 重庆出版社 / 2008-5 / 32.00
15,三体Ⅲ,9.2,171768,刘慈欣 / 重庆出版社 / 2010-11 / 38.00元
16,不能承受的生命之轻,8.5,178028,[捷克] 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2003-7 / 23.00元
17,我们仨,8.7,169945,杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元
18,达·芬奇密码,8.2,178750,[美] 丹·布朗 / 朱振武 / 上海人民出版社 / 2004-2 / 28.00元
19,天才在左 疯子在右,8.1,177667,高铭 / 武汉大学出版社 / 2010-2 / 29.80元
20,简爱（英文全本）,8.5,153579,[英] 夏洛蒂·勃朗特 / 世界图书出版公司 / 2003-11 / 18.00元
21,明朝那些事儿（壹）,8.7,145063,当年明月 / 中国友谊出版公司 / 2006-9 / 24.80
22,哈利·波特与魔法石,9.1,139104,[英] J. K. 罗琳 / 苏农 / 人民文学出版社 / 2000-9 / 19.50元
23,傲慢与偏见,8.8,142371,[英] 奥斯丁 / 张玲 / 人民文学出版社 / 1993-7 / 13.00元
24,撒哈拉的故事,9,136461,三毛 / 皇冠出版社 / 1976 / 160 TWD
25,目送,8.6,144195,龙应台 / 生活·读书·新知三联书店 / 2009-10 / 39.00元
26,恶意,8.4,141924,[日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2009-6 / 18.00
27,许三观卖血记,8.7,133706,余华 / 南海出版公司 / 1998-9 / 16.80元
28,霍乱时期的爱情,9,127667,[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元
29,边城,8.6,131585,沈从文 / 北岳文艺出版社 / 2002-4 / 12.00元
30,飘,9.3,119824,[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元
31,人间失格,8.3,128885,太宰治 / 许时嘉 / 吉林出版集团有限责任公司 / 2009年9月 / 16.00元
32,倾城之恋,8.5,126265,花城出版社 / 1997-3-1 / 11.00
33,盗墓笔记,8.3,122444,南派三叔 / 中国友谊出版公司 / 2007-1 / 26.80元
34,狼图腾,8.2,121464,姜戎 / 长江文艺出版社 / 2004-4 / 32.00元
35,哈利·波特与阿兹卡班的囚徒,9,110393,[英] J. K. 罗琳 / 郑须弥 / 人民文学出版社 / 2000-9 / 26.50元
36,窗边的小豆豆,8.7,111358,[日] 黑柳彻子 著 / 赵玉皎 / 南海出版公司 / 2003-1 / 20.00元
37,哈利·波特与火焰杯,9,105900,[英] J. K. 罗琳 / 马爱新 / 人民文学出版社 / 2001-5 / 39.80元
38,送你一颗子弹,8.6,113006,刘瑜 / 上海三联书店 / 2010-1 / 25.00元
39,万历十五年,8.9,107353,[美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元
40,哈利·波特与密室,8.9,106116,[英] J. K. 罗琳 / 马爱新 / 人民文学出版社 / 2000-9 / 22.00元
41,穆斯林的葬礼,8.1,117237,霍达 / 北京十月文艺出版社 / 1988-12-1 / 32.00
42,老人与海,8.4,111512,海明威 / 吴劳 / 上海译文出版社 / 1999-10 / 8.20元
43,情人,8.1,117546,[法] 玛格丽特·杜拉斯 / 王道乾 / 上海译文出版社 / 2005-7 / 20.00元
44,1984,9.3,96732,[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00
45,房思琪的初恋乐园,9.2,96866,林奕含 / 北京联合出版公司 / 2018-1 / 45.00元
46,鲁滨逊漂流记,8,105852,[英] 笛福 / 马静 / 广西民族出版社 / 2002-1 / 9.20元
47,黄金时代,8.8,97145,王小波 / 花城出版社 / 1999-3 / 19.00元
